Dish,Calorie_per_100g,Carbohydrate_per_100g,Protein_per_100g,Fat_per_100g,Source
Chole,164,27,9,2.5,https://smytten.com/blogs/wellness/how-much-protein-in-chana-unveiling-chickpea-nutrition
Dal,116,20.13,9.02,0.38,https://fitia.app/calories-nutritional-information/lentils-50112
Sambhar,57,6.3,2.3,2.4,https://www.thewellnesscorner.com/nutrition-facts/sambhar
Papad,371,59.87,25.56,3.25,https://www.fatsecret.co.in/calories-nutrition/generic/papad?portionid=63356&portionamount=100.000
Gulabjamun,387,68.1,6.58,12.36,https://www.haldirams.com/gulab-jamun-1101.html
Idli,51,12.5,3.2,0.2,https://fitelo.co/recipes/vegetable-idli/
Vada,282,40.97,10.59,8.64,https://www.fatsecret.co.in/calories-nutrition/generic/vada
Samosa,308,32.21,4.67,17.86,https://www.fatsecret.co.in/calories-nutrition/generic/pastry-filled-with-potatoes-and-peas-(fried)?portionamount=100.000&portionid=53636&utm
Paobhaji,160,20,4,6,https://www.snapcalorie.com/nutrition/pav_bhaji_nutrition.html?utm
Dhokla,388,62,22,5.5,https://www.mynetdiary.com/food/calories-in-khaman-dhokla-by-organic-tattva-serving-53478322-0.html?utm
Barfi,285,38.82,6.83,12.1,https://www.fatsecret.co.in/calories-nutrition/generic/barfi-or-burfi-indian-dessert-%28made-from-milk-or-cream-or-ricotta-cheese%29?portionamount=100.000&portionid=49913&utm
Fishcurry,100,1.9,12.4,4.59,https://www.fatsecret.co.in/calories-nutrition/generic/fish-curry?portionid=5406867&portionamount=100.000
Momos,120,20,4,2,https://www.snapcalorie.com/nutrition/veg_momo_nutrition.html?utm
Kheer,125,20,3,4,https://www.snapcalorie.com/nutrition/rice_kheer_nutrition.html?utm
Kachori,270,35.69,9.84,10.01,https://www.fatsecret.co.in/calories-nutrition/generic/kachori?portionid=5613275&portionamount=100.000
Vadapav,217,28.69,6.55,8.51,https://foods.fatsecret.com/calories-nutrition/generic/vada-pav?portionid=16763051&portionamount=100.000
Rasmalai,187,18,7.2,9.6,https://www.fatsecret.co.in/calories-nutrition/amul/rasmalai/100g
Black Chana Curry,125,17.5,5,4,https://www.snapcalorie.com/nutrition/black_chana_curry_nutrition.html?utm
Chaat,133,20,3.3,5.3,https://www.snapcalorie.com/nutrition/indian_chaat_nutrition.html?utm
Palak Saag,95,7.5,4,6,https://www.snapcalorie.com/nutrition/palak_saag_nutrition.html?utm
Dumaloo,170,8,2,14.2,https://www.mynetdiary.com/food/calories-in-dum-aloo-by-mirch-masala-gram-15812651-0.html?utm
Thupka,71,11.4,2.9,1.4,https://www.snapcalorie.com/nutrition/thukpa_nutrition.html?utm
Khandvi,120,18,4,3,https://www.mynetdiary.com/food/calories-in-khandvi-by-garvi-gujarat-serving-21253637-0.html?utm
Chicken Kabab,151,19.83,9.09,3.67,https://www.fatsecret.co.in/calories-nutrition/generic/chicken-kebab?portionamount=100.000&portionid=5164507&utm
Thepla,200,30,5,7,https://www.snapcalorie.com/nutrition/thepla_nutrition.html?utm
Rasam,19,2.82,0.39,0.88,https://www.fatsecret.co.in/calories-nutrition/generic/rasam?portionid=7168139&portionamount=100.000
