Recipe_Name,Recipe_URL,Detailed_Ingredients,Instructions,Prep_Time,Ingredients,Image_Link
Deep-Fried Peanuts,https://www.allrecipes.com/recipe/239295/deep-fried-peanuts/,"oil for frying as needed, 1 cup shelled raw peanuts, salt to taste","Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). Cook peanuts in preheated oil until fragrant and hot, about 2 minutes. Transfer to paper towel-lined plates to drain. Season peanuts with salt",10 mins,"oil, peanuts, salt",image/1.png
Oven-Fried Potatoes,https://www.allrecipes.com/recipe/18905/oven-fried-potatoes-i/,"½ cup unsalted butter, diced, more for the dish, 5 pounds red potatoes, thinly sliced, 1 onion, finely chopped, 6 strips bacon, chopped, salt and ground black pepper to taste","Preheat the oven to 400 degrees F (200 degrees C). Grease a 9x13-inch casserole dish. Place potatoes in an even layer in the prepared dish. Sprinkle onion and bacon over potatoes; dot with diced butter. Cover the dish with aluminum foil. Bake in the preheated oven for 45 minutes. Remove foil; stir potatoes. Turn on the broiler and broil until until potatoes are brown and crisp, about 5 minutes. You may need to stir every minute or so for even browning. Serve immediately.",1 hr 30 mins,"butter, potatoes, onion, bacon, salt, pepper",image/2.png
Herbed Dumplings,https://www.allrecipes.com/recipe/87270/herbed-dumplings/,"1½ cups all-purpose flour, 2 teaspoons baking powder, 1 teaspoon salt, 1 teaspoon baking soda, 1 teaspoon dried thyme, 1 teaspoon dried parsley, 1 teaspoon dried oregano, 3 tablespoons unsalted butter, ¾ cup milk","Combine flour, baking powder, salt, baking soda, thyme, parsley, and oregano in a bowl. Cut in butter until mixture resembles coarse crumbs. Gradually add milk, using just enough to form a thick batter. Drop by rounded tablespoons into simmering soup or stew, cover, and cook for 15 minutes.",20 mins,"flour, salt, baking soda, baking powder, thyme, parsley, oregano, butter, milk",image/3.png
Shrimply Delicious Shrimp Salad,https://www.allrecipes.com/recipe/87228/shrimply-delicious-shrimp-salad/,"1 pound large peeled and deveined cooked shrimp, 1 cup chopped celery, 1 large carrot, shredded, ½ cup chopped onion, 2 hard-cooked eggs, chopped, ¾ cup mayonnaise, salt and ground black pepper to taste","Gently toss shrimp, celery, carrot, onion, eggs, and mayonnaise together in a large bowl; season with salt and black pepper. Chill until ready to serve.",15 mins,"shrimp, celery, carrot, onion, eggs, mayonnaise, salt pepper",image/4.png
Slow-Cooker Barbecue Ribs,https://www.allrecipes.com/recipe/22230/slow-cooker-barbecue-ribs/,"4 pounds pork baby back ribs, salt and ground black pepper to taste, 2 cups ketchup, 1 cup chili sauce, ½ cup packed brown sugar, 1/4 cup vinegar, 2 teaspoons dried oregano, 2 teaspoons Worcestershire sauce, 1 dash hot sauce","Preheat the oven to 400 degrees F (200 degrees C), season ribs with salt and black pepper, place in a shallow baking pan, brown in the preheated oven for 15 minutes, flip, brown 15 minutes more, drain fat, transfer ribs to a slow cooker, combine ketchup, chili sauce, brown sugar, vinegar, oregano, Worcestershire sauce, hot sauce, salt, and black pepper in a medium bowl, pour sauce over ribs, flip to coat, cover slow cooker, cook on Low until ribs are tender, 6 to 8 hours.",6 hrs 40 mins,"pork baby back ribs, salt pepper, ketchup, chili sauce, sugar, vinegar, oregano, Worcestershire sauce, sauce",image/5.png
Prize-Winning Baby Back Ribs,https://www.allrecipes.com/recipe/14539/prize-winning-baby-back-ribs/,"1 tablespoon ground cumin, 1 tablespoon chili powder, 1 tablespoon paprika, salt and pepper to taste, 3 pounds baby back pork ribs, 1 cup barbeque sauce","Make the spice rub, trim the ribs then season with the spice mix, cook the ribs on the grill according to the detailed recipe below, brush the grilled baby back ribs with barbecue sauce, grill for five more minutes, this grilled baby back rib recipe calls for a savory homemade spice rub made with cumin, chili powder, paprika, salt, and pepper, it should take about an hour to perfectly cook these baby back ribs on the grill, you’ll know the ribs are done when an instant read thermometer inserted into the center reads 145 degrees F (63 degrees C).",1 hr 35 mins,"cumin, chili powder, paprika, salt pepper, baby back pork ribs, barbeque sauce",image/6.png
Prime Rib - It's Easier Than You Think,https://www.allrecipes.com/recipe/230368/prime-rib-its-easier-than-you-think/,"1 (5 pound) bone in beef prime rib roast, 1 tablespoon olive oil, 2 teaspoons Montreal style steak seasoning (such as McCormick), 1 teaspoon chopped garlic, 1 teaspoon Italian seasoning, 1 teaspoon mustard powder","Gather all ingredients, Place roast, bone-side down, onto a rack set in a roasting pan, Whisk olive oil, steak seasoning, garlic, Italian seasoning, and mustard powder together in a small bowl, Spread over roast; set aside until roast comes to room temperature, about 45 minutes. Preheat the oven to 450 degrees F (230 degrees C), Bake in the preheated oven for 20 minutes. Insert a meat thermometer into the thickest part of the roast, not touching the bone. Reduce the oven temperature to 325 degrees F (165 degrees C), Continue cooking until reaches desired degree of doneness, or an internal temperature of 145 degrees F (65 degrees C) for medium is reached, about 1 1/2 to 2 hours. Remove from the oven, cover with a doubled sheet of aluminum foil, and set aside to rest in a warm area before slicing, 10 to 15 minutes.",2 hrs 55 mins,"beef prime rib roast, olive oil, Montreal steak seasoning, garlic, Italian seasoning, mustard powder",image/7.png
Pittsburgh Ham Barbecues,https://www.allrecipes.com/recipe/170741/pittsburgh-ham-barbecues/,"½ cup unsalted butter, 1 small onion finely chopped, 2 cups ketchup, ½ cup water, ⅓ cup distilled white vinegar, 3 tablespoons brown sugar, 2 tablespoons Worcestershire sauce, 2 teaspoons prepared yellow mustard, 1 ½ pounds chipped chopped ham, 8 kaiser rolls split, 1 cup pickle relish (Optional)","Preheat the oven to 275 degrees F (135 degrees C). Melt butter in a large skillet over medium-high heat. Add onion; cook and stir until translucent, about 5 minutes. Stir in ketchup, water, vinegar, brown sugar, Worcestershire sauce, and mustard; simmer about 10 minutes. Stir in ham; cook until sauce is bubbling and ham is heated through, 5 to 7 minutes. Meanwhile, heat kaiser rolls in the preheated oven until toasted, 5 to 7 minutes. Divide ham mixture among toasted rolls; top with pickle relish. Serve hot.",30 mins,"butter, onion, ketchup, vinegar, water, sugar, mustard, Worcestershire sauce, ham, ka rolls, pickle relish",image/8.png
Mother's Potato Salad,https://www.allrecipes.com/recipe/214709/mothers-potato-salad/,"5 pounds whole russet potatoes, 5 large eggs, 1 ½ cups mayonnaise (such as Hellman's), 2 tablespoons prepared yellow mustard (such as French's), 25 pimento-stuffed green olives, sliced, 7 sweet gherkins, chopped, 3 stalks celery, chopped, 1 small onion, chopped, 1 pinch salt, or to taste, 1 green bell pepper, sliced (Optional)","Place potatoes in a large pot and cover with salted water; bring to a boil over high heat. Reduce heat to medium-low, cover, and simmer until tender, about 20 minutes. Drain potatoes; steam dry 1 to 2 minutes. Cool, then peel and cut into cubes. Place eggs in a saucepan in a single layer; cover with water by 1 inch. Cover the saucepan; bring to a boil over high heat, then remove from heat, and let eggs stand in hot water for 15 minutes. Remove eggs from hot water, cool eggs under cold running water. Peel and slice. Reserve 1 attractive slice for garnish. Combine mayonnaise and mustard in a bowl. Combine potatoes, eggs, olives, gherkins, celery, and onion in a separate large bowl. Add mayonnaise dressing; gently toss until ingredients coated. Season with salt. Top salad with bell pepper slices and reserved egg slice in the center. Chill until ready to serve",2 hrs 35 mins,"russet potatoes, eggs, mayonnaise, mustard, pimento olives, g, celery, onion, salt, bell pepper",image/9.png
Chef John's Shepherd's Pie,https://www.allrecipes.com/recipe/219919/chef-johns-shepherds-pie/,"1¼ pounds Yukon Gold potatoes peeled and cubed, 3 cloves garlic halved, 1 pound lean ground beef, 2 tablespoons all purpose flour, 4 cups frozen mixed vegetables, ¾ cup beef broth, 3 tablespoons ketchup, 1 teaspoon salt, ½ teaspoon ground black pepper, ¾ cup light sour cream, ½ cup shredded Cheddar cheese divided","Place cubed potatoes and garlic in a large pot with enough water to cover. Bring to a boil over high heat. Reduce heat to medium-low, cover, and simmer until tender, about 20 minutes. Preheat the oven to 375 degrees F (190 degrees C). Meanwhile, cook ground beef over medium heat in a skillet. Stir in flour, mixing with beef drippings. Add beef broth, ketchup, vegetables, salt, and pepper. Stir to combine. Cook until thick, about 5 minutes. Transfer beef mixture to an oven-proof casserole dish. Drain potatoes and smash them a little bit before adding 1/4 cup grated cheese and sour cream. Mash together until smooth. Top meat mixture with potatoes. Spread potatoes from the center of casserole to the edges to form top layer. Sprinkle with remaining 1/4 cup grated cheese. Bake in the preheated oven until cheese melts and turns golden, 20 to 25 minutes. Let cool 15 minutes before serving",1 hr 25 mins,"Yukon Gold potatoes, garlic, beef, flour, beef broth, ketchup, vegetables, salt, pepper, Cheddar cheese, sour cream",image/10.png
